LAGOS ID,LakePI,Unique ID
5726,Alex,L1035
6179,Kevin,L1128
6207,Kevin,L1132
7033,Kevin,L1139
6216,Kevin,L1166
5727,Kevin,L1168
36111,Kevin,L1170
563,Kevin,L1186
3650,Kevin,L1192
951,Alex,L1194
1409,Kevin,L1195
3910,Kevin,L1234
43607,Kevin,L1240
626,Kevin,L1251
2271,Alex,L1399
5500,Kevin,L1755
6418,Kevin,L1866
4057,Kevin,L2054
4074,Kevin,L2100
6625,Kevin,L2109
2808,Kevin,L2144
3857,Kevin,L2148
873,Kevin,L2156
7340,Kevin,L2180
4899,Kevin,L2342
6450,Alex,L2377
2212,Alex,L2429
8276,Alex,L2515
3217,Kevin,L2567
2722,Kevin,L2583
115040,Alex,L2611
2180,Kevin,L2616
1293,Kevin,L2626
1121,Kevin,L2645
1822,Alex,L2691
2757,Alex,L2719
136221,Kevin,L2749
2704,Kevin,L2884
4,Kevin,L2905
26162,Kevin,L2906
445,Kevin,L2907
5257,Kevin,L3198
3204,Alex,L3310
4686,Kevin,L3337
6371,Alex,L3397
863,Kevin,L3537
8002,Kevin,L3608
5160,Kevin,L3629
815,Kevin,L3638
8021,Kevin,L3835
30579,Kevin,L3902
7834,Alex,L3923
4433,Kevin,L3958
8514,Kevin,L4113
5397,Kevin,L4253
35778,Kevin,L4323
103210,Kevin,L4323
43237,Kevin,L4324
94084,Kevin,L4334
28452,Kevin,L4336
33651,Kevin,L4415
47233,Alex,L4438
79413,Kevin,L4484
131577,Keivn,L4493
61844,Kevin,L4543
431,Kevin,L4545
140838,Kevin,L4560
4571,Kevin,L4565
37873,Kevin,L4566
373,Kevin,L4568
17960,Alex,L4584
100219,Kevin,L4588
95013,Kevin,L4651
58639,Kevin,L4672
9972,Alex,L4683
104214,Kevin,L4691
3630,Kevin,L4702
19077,Kevin,L4705
68075,Alex,L4785
22249,Kevin,L4797
3904,Kevin,L4893
34726,Kevin,L4923
1876,Kevin,L5054
105254,Alex,L5072
4450,Kevin,L5093
2683,Alex,L5621
83682,Kevin,L5685
1868,Kevin,L5686
4390,Alex,L5687
4830,Kevin,L5721
71016,Kevin,L5775
3017,Alex,L5781
3570,Kevin,L5804
4415,Kevin,L5808
8200,Kevin,L5888
33741,Alex,L5924
1355,Alex,L6159
140541,Kevin,L6194
4298,Kevin,L6532
92987,Kevin,L6579
21017,Alex,L6627
72329,Kevin,L6718
45877,Kevin,L7061
3119,Alex,L7222
15158,Kevin,L7412
262,Alex,L7478
140519,Alex,L7746
89242,Kevin,L7775
13244,Alex,L8956
1935,Alex,L8960
1777,Alex,L9054
230,Alex,L9142
2008,Kevin,L9153
57769,Alex,L9187
4935,Niether,L13000
3209,Kevin,L13001
3979,Kevin,L13002
4606,Kevin,L13003
5431,Kevin,L13004
5535,Kevin,L13005
5725,Kevin,L13006
6545,Kevin,L13007
7595,Kevin,L13008
8264,Kevin,L13009
8385,Kevin,L13010
62813,Kevin,L13011
91980,Kevin,L13012
116599,Kevin,L13013
139729,Kevin,L13014
7,Kevin,L13015
17,Kevin,L13016
66,Kevin,L13017
263,Kevin,L13018
529,Kevin,L13019
734,Kevin,L13020
1005,Kevin,L13021
1192,Kevin,L13022
1609,Kevin,L13023
1773,Kevin,L13024
1924,Kevin,L13025
2634,Kevin,L13026
